Name,Catalyst

Pinacle-Pinacalon arrangement,"Minara acid, HCl, BF₃, H₂SO₄, AlCl₃, ZnCl₂, SiO₂"
Hafman's reaction (Elimination reaction),"KBr"
Baeyer-villiger oxidation,"CO₃O₄ / SiO₂, Cu(OAc)₂, Ni(OAc)₂"
Benzilic acid rearrengement,"NaBrO₃"
Beckmann's rearrengement,"Dilute acids, PCl₅, TfA, H₂SO₄, H₃PO₄, HCl, citric acid (C₆H₈O₇)"
Claisen-schmidt condensation,"Base catalyst, C₂H₅ONa, KOH, HCl, AlCl₃, NaOH"
Schmidt rearrangement,"H₂SO₄, TiCl, TfA, CH₃OH"
Clemmensen reduction,"Zn/Mg, HCl"
Wolff rearrangement,"Ag₂O, Silver benzoate (C₇H₅AgO₂)"
Oppenour-Oxidation,"AlOC(CH₃)₃, KMnO₄/OH⁻, H₂CrO₇, PCC, C₅H₆NCrO₃Cl"
Dakin reaction,"H₂O₂"
Birch reduction,"Na, Li, NH₃(l), alkali metals"
